conc.uM,fl
0.01,438.5
0.0196,631.4
0.0291,645.1
0.0385,845.6
0.0476,997.9
0.1,1126
0.196,2022
0.291,2571
0.385,3434
0.476,4129
0.99,8097
1.96,10810
2.91,22391
3.85,28858
4.76,36395
9.9,73568
19.6,119001
29.1,172532
38.5,232874
47.6,239633
