date,bulkOC,POC,DOC
4/26/13,0.185623,,0.009151
4/26/13,0.155042,,0.01017
4/26/13,0.17753,,0.010645
5/20/13,0.104695,,
5/20/13,0.111361,,
5/20/13,0.121279,,
5/31/13,0.06894,0.034765,0.0424755
5/31/13,0.066697,0.036304,0.0531825
5/31/13,0.076048,0.03185,0.0521185
6/6/13,0.087426,,
6/6/13,0.09214,,
6/6/13,0.07728,,
6/10/13,0.079459,,
6/10/13,0.071277,,
6/10/13,0.085431,,
