Wavelength	R1
nm	MicroAmps
200	0.0306218703024237
201	0.0306249332657925
202	0.0306307397116462
203	0.030614087128206
204	0.0306170397037769
205	0.0306273634662765
206	0.0306327471960056
207	0.0306335289704967
208	0.0306465318424673
209	0.0306592846133581
210	0.0306569972255975
211	0.0306557574490335
212	0.030655575297246
213	0.0306603746630601
214	0.0306518855314567
215	0.0306730306360114
216	0.030681470891808
217	0.0306909454073612
218	0.0307000150881826
219	0.030722426195344
220	0.030742529887585
221	0.0307794740370993
222	0.0308385775237652
223	0.0309031572465654
224	0.0309976716129219
225	0.0311464557678561
226	0.031350872035077
227	0.0316687166522311
228	0.0320509385748195
229	0.0325303701856982
230	0.0332119473653371
231	0.0340646420826179
232	0.0350387934183395
233	0.0362643256648748
234	0.0377414307491728
235	0.0393333465342728
236	0.0412177897454158
237	0.0432415633383553
238	0.0455250741745686
239	0.0480616920720423
240	0.0506946990210886
241	0.0536641071814292
242	0.0566217038473934
243	0.0596412950636032
244	0.0629642104907985
245	0.0666654647173325
246	0.0703647703488939
247	0.0738890345499885
248	0.077481362246028
249	0.0812292828545238
250	0.0853363228645936
251	0.0893675579287504
252	0.0932831249389274
253	0.0970556677484029
254	0.101482331931833
255	0.106552786574162
256	0.110137089816391
257	0.115249903570796
258	0.119499307362128
259	0.125490051962611
260	0.128954217041091
261	0.132229378659227
262	0.137270617966825
263	0.141555382808367
264	0.147532404512797
265	0.150717350451394
266	0.154707783038318
267	0.159790243486157
268	0.164480865398387
269	0.170194433629294
270	0.173597530413673
271	0.178417916877834
272	0.185124482955584
273	0.191465740285682
274	0.195978960185184
275	0.202065103208081
276	0.208900952470668
277	0.216432688318629
278	0.222566810932972
279	0.22786282790075
280	0.234533370601502
281	0.242084653195925
282	0.251384212195699
283	0.257245989039112
284	0.262985099766678
285	0.270966169503659
286	0.279560277995543
287	0.287945222591222
288	0.294212960217401
289	0.303009043808767
290	0.315832103831793
291	0.323489227820414
292	0.333667378324124
293	0.339367823996937
294	0.347294878814792
295	0.359010172728679
296	0.368968346100359
297	0.377703322058561
298	0.384246265524835
299	0.392567015443704
300	0.400301067568121
301	0.412362805121889
302	0.416912574349753
303	0.422492748106
304	0.430309016728514
305	0.43784043166508
306	0.445928967141977
307	0.448807752165443
308	0.455134946376189
309	0.46139927914677
310	0.472310077041487
311	0.475763187127714
312	0.47999350670461
313	0.486093056003698
314	0.490527881016361
315	0.496764354815456
316	0.494952093780055
317	0.500745283084506
318	0.505616004000328
319	0.515729266029189
320	0.51807455946154
321	0.520331553384397
322	0.526930950791769
323	0.529499575428591
324	0.534659215782237
325	0.534383412703623
326	0.538796431953874
327	0.544004903768516
328	0.55108782524152
329	0.555022540362309
330	0.556749871696287
331	0.560048498946919
332	0.563765070136064
333	0.573787639886664
334	0.571075317278262
335	0.5736271899111
336	0.580910617348359
337	0.587393748509558
338	0.592870388763365
339	0.587650382019888
340	0.591753689110407
341	0.595480157769649
342	0.603121873481346
343	0.60496902659763
344	0.603598564709181
345	0.607930579581345
346	0.609351657732204
347	0.615484981644337
348	0.611933440689904
349	0.611036273041506
350	0.615502709972365
351	0.617279900589793
352	0.62042832008821
353	0.618542986145289
354	0.618562233438027
355	0.621754410373433
356	0.621501493093354
357	0.617625631834987
358	0.617260062019002
359	0.617886547342834
360	0.617987978947162
361	0.617845865982235
362	0.616046766605572
363	0.61599104699367
364	0.617932987465573
365	0.625617257315737
366	0.627704870341817
367	0.633044248971758
368	0.639563348673684
369	0.644884205041759
370	0.652891916146589
371	0.656710528099509
372	0.663343912550871
373	0.671947090246739
374	0.682674458192022
375	0.68949178924586
376	0.699565217015301
377	0.709086797347923
378	0.717453108101845
379	0.728943877049479
380	0.737118636602217
381	0.744181470118607
382	0.751656226074105
383	0.760336953701399
384	0.768941383571597
385	0.768718175152689
386	0.778294444890572
387	0.788454934538709
388	0.803083478787702
389	0.811231668021325
390	0.824037845625409
391	0.834327150919569
392	0.845617618704501
393	0.85738876884413
394	0.868937127320511
395	0.885373963889389
396	0.899543753616406
397	0.903981507124364
398	0.90725633686385
399	0.898938150421446
400	0.893944677559092
401	0.895352207336292
402	0.898885584848806
403	0.898130331085829
404	0.905316854248985
405	0.907408584286932
406	0.915223873485961
407	0.92114307987926
408	0.929425093456224
409	0.935231962741384
410	0.940601606701438
411	0.956095821121548
412	0.953824393100043
413	0.950350310285888
414	0.950115338294736
415	0.952055704965658
416	0.95861691534751
417	0.96373175565976
418	0.983960848439156
419	1.00853612578317
420	1.00076672166845
421	0.980976086361326
422	0.9770455588243
423	0.976408109584108
424	0.97433518314194
425	0.98289899983925
426	0.980930194601298
427	0.979207075885034
428	0.983391779552188
429	0.983714541075511
430	0.987486205550975
431	0.988619199205844
432	0.984147188764073
433	0.991853195473683
434	1.00521365524502
435	1.00343443759291
436	1.01480792653862
437	1.04032993106373
438	1.04691715202697
439	1.03733141315664
440	1.02918282806275
441	1.02880090058309
442	1.03476231761621
443	1.04103011872745
444	1.03687324418587
445	1.03279811478973
446	1.03859005531845
447	1.04823678261329
448	1.11582000408488
449	1.26158816182239
450	1.16564939895302
451	1.17083682251544
452	1.14544263433766
453	1.08312607722525
454	1.09373124718154
455	1.10950481108347
456	1.1405095328202
457	1.18406735288793
458	1.16461184805554
459	1.14784567038867
460	1.16689998924279
461	1.23160353302159
462	1.29307255979248
463	1.26768255538381
464	1.23079166342279
465	1.24530789646507
466	1.38051635734378
467	1.51951396263357
468	1.45898444713581
469	1.36525298057678
470	1.29295416494407
471	1.23727568443009
472	1.37006504175335
473	1.34250451662231
474	1.1532468600432
475	1.11027738167212
476	1.07512793997265
477	1.05913239598195
478	1.06728466225861
479	1.10343222328469
480	1.18521363505223
481	1.18613217407404
482	1.1742608708444
483	1.15521097036326
484	1.11461523212269
485	1.0843267998864
486	1.05324186841984
487	1.05250902313373
488	1.0541656392988
489	1.07099666586371
490	1.09958491618602
491	1.18611057811974
492	1.17550097834637
493	1.12613436441788
494	1.08619894548733
495	1.0612235376248
496	1.05072836064641
497	1.04581446326813
498	1.05031276655697
499	1.04191755175494
500	1.04019433479216
501	1.04777816732295
502	1.05688615733565
503	1.05011342955687
504	1.04783117921571
505	1.04443720500548
506	1.04337146921804
507	1.05476972138962
508	1.04923406079918
509	1.04726505908368
510	1.05005865718138
511	1.0528217262577
512	1.06258411803146
513	1.05773536042188
514	1.05514705025185
515	1.05589805063541
516	1.05874980855968
517	1.05697412329849
518	1.05369760838219
519	1.0529007801343
520	1.05669258911134
521	1.05665694648842
522	1.04904426626403
523	1.05024055433973
524	1.05384786739598
525	1.05014817572596
526	1.0456670919801
527	1.04434806983797
528	1.0471878257713
529	1.04494915929887
530	1.04162546611544
531	1.0376928204266
532	1.03683464135796
533	1.03470767207939
534	1.03105946451592
535	1.03944789011067
536	1.0269813224627
537	1.02361043074207
538	1.02530282042635
539	1.02628135986611
540	1.02471435093733
541	1.02478953575733
542	1.02421865106855
543	1.02216965874049
544	1.02244491393323
545	1.01755585791412
546	1.01548935256088
547	1.0096697994078
548	1.00610138104121
549	1.00781763711736
550	1.00560669493339
551	1.00203989685941
552	1.00244220244707
553	0.999100111014295
554	1.00024333473316
555	0.990622029634757
556	0.992519654531798
557	0.989085999877721
558	0.988750992222968
559	0.981137600637386
560	0.97870328981723
561	0.978740266630088
562	0.973840356843996
563	0.967567765492569
564	0.966627453142906
565	0.963574165753361
566	0.964518618003074
567	0.957935402540885
568	0.95681875581685
569	0.953537101584216
570	0.94940704440698
571	0.957757722532104
572	0.947206695636913
573	0.939057032976527
574	0.941838932322539
575	0.933832677478334
576	0.944751128370729
577	0.932721793807973
578	0.932422106433854
579	0.9297732818432
580	0.932637191455246
581	0.926694631486178
582	0.921149290206171
583	0.922923150116177
584	0.918901736466592
585	0.921125746849221
586	0.909215863804732
587	0.905404997594314
588	0.901738292602759
589	0.902735772003462
590	0.899953123069467
591	0.886578321944304
592	0.883130183838936
593	0.875571669532449
594	0.878348015633128
595	0.865989054045907
596	0.855054806492737
597	0.851739311128278
598	0.842498282695346
599	0.846557801354462
600	0.832533678697995
