Wavelength	S1
nm	CPS
365	14850
366	14340
367	14010
368	14060
369	13720
370	13020
371	13080
372	12950
373	12300
374	12020
375	12030
376	11540
377	10690
378	10410
379	10340
380	9850
381	9490
382	10600
383	11240
384	14410
385	21410
386	30180
387	48020
388	71250
389	103990
390	142400
391	194820
392	242640
393	298370
394	342160
395	378090
396	399340
397	395010
398	376850
399	343480
400	300740
401	247610
402	195530
403	149600
404	106430
405	73300
406	52870
407	36070
408	23850
409	18380
410	14380
411	12040
412	10560
413	8900
414	8020
415	7560
416	6920
417	6440
418	5760
419	5950
420	5470
421	5620
422	5420
423	5060
424	5320
425	4950
426	5160
427	5030
428	5020
429	4990
430	4840
431	4610
432	4950
433	4700
434	4610
435	4410
436	4710
437	4560
438	4540
439	4260
440	4020
441	4320
442	3940
443	4510
444	3800
445	3840
446	4140
447	4310
448	4180
449	4070
450	4610
