Wavelength (nm),Absorbance,Title,Time
432.5,-0.000177,,
432,-0.000057,,
431.5,0.000028,,
431,0.000049,,
430.5,0.000075,,
430,0.000028,,
429.5,0.00007,,
429,0.00024,,
428.5,-0.000113,,
428,0.000199,,
427.5,0.00014,,
427,0.000117,,
426.5,-0.000089,,
426,0.000056,,
425.5,-0.000067,,
425,-0.000217,,
424.5,0.000037,,
424,-0.000167,,
423.5,0.00023,,
423,0.000041,,
422.5,0.000096,,
422,0.000032,,
421.5,-0.00001,,
421,0.000033,,
420.5,-0.000069,,
420,-0.000013,,
419.5,0.00001,,
419,0.000044,,
418.5,0.000076,,
418,0.000043,,
417.5,0.000003,,
417,0.000134,,
416.5,-0.000035,,
416,-0.000177,,
415.5,0.000029,,
415,0.000024,,
414.5,-0.000017,,
414,0.000042,,
413.5,0.000096,,
413,0.000135,,
412.5,0.000044,,
412,0.000155,,
411.5,0.000189,,
411,-0.000062,,
410.5,-0.000004,,
410,0.000128,,
409.5,-0.000052,,
409,0.000056,,
408.5,0.000288,,
408,-0.000078,,
407.5,-0.000153,,
407,-0.000066,,
406.5,-0.000087,,
406,0.000266,,
405.5,-0.000052,,
405,0.000123,,
404.5,-0.000079,,
404,-0.000133,,
403.5,0.000254,,
403,0.000108,,
402.5,-0.00019,,
402,0.000431,,
401.5,-0.000004,,
401,0.000354,,
400.5,0.00006,,
400,-0.000275,,
399.5,0.000194,,
399,-0.000275,,
398.5,0.000258,,
398,0.000083,,
397.5,-0.000013,,
397,0.000021,,
396.5,-0.000161,,
396,-0.000068,,
395.5,0.000256,,
395,0.000099,,
394.5,0.000154,,
394,-0.000039,,
393.5,-0.000043,,
393,-0.000182,,
392.5,0.000012,,
392,0.000194,,
391.5,-0.000028,,
391,0.000049,,
390.5,-0.000077,,
390,-0.000489,,
389.5,0.000179,,
389,-0.000077,,
388.5,-0.000023,,
388,0.00009,,
387.5,0.00022,,
387,0.000223,,
386.5,0.000186,,
386,0.000055,,
385.5,0.000101,,
385,0.000369,,
384.5,-0.000111,,
384,0.000555,,
383.5,-0.000204,,
383,0.000447,,
382.5,0.000201,,
382,0.000205,,
381.5,0.000218,,
381,0.000076,,
380.5,0.00041,,
380,0.000313,,
379.5,-0.00005,,
379,-0.000121,,
378.5,0.000006,,
378,0.000372,,
377.5,0.000149,,
377,0.000026,,
376.5,-0.00018,,
376,0.000013,,
375.5,0.000033,,
375,-0.00011,,
374.5,0.000003,,
374,0.000263,,
373.5,0.000059,,
373,0.000191,,
372.5,0.000346,,
372,0.000043,,
371.5,-0.000077,,
371,-0.000077,,
370.5,0.000102,,
370,0.0001,,
369.5,0.000178,,
369,0.000188,,
368.5,0.000328,,
368,-0.000113,,
367.5,0.00014,,
367,0.000501,,
366.5,0.000195,,
366,0.000218,,
365.5,0.00023,,
365,0.000431,,
364.5,0.000518,,
364,0.000174,,
363.5,0.000123,,
363,-0.000038,,
362.5,-0.000032,,
362,0.000216,,
361.5,0.000355,,
361,0.000243,,
360.5,-0.000029,,
360,0.000041,,
359.5,0.000138,,
359,0.000075,,
358.5,0.000283,,
358,0.000004,,
357.5,0.000151,,
357,0.000031,,
356.5,-0.000054,,
356,0.000153,,
355.5,-0.00006,,
355,0.000072,,
354.5,0.00003,,
354,0.000059,,
353.5,-0.000198,,
353,-0.000174,,
352.5,0.000252,,
352,-0.000044,,
351.5,0.000108,,
351,0.000468,,
350.5,0.000304,,
350,-0.000093,,
349.5,0.000495,,
349,0.000582,,
348.5,0.000288,,
348,-0.000498,,
347.5,0.000242,,
347,0.000272,,
346.5,0.000311,,
346,0.000125,,
345.5,0.000086,,
345,0.000367,,
344.5,0.00035,,
344,0.000136,,
343.5,0.000126,,
343,0.000256,,
342.5,0.000365,,
342,0.000692,,
341.5,-0.00006,,
341,-0.000011,,
340.5,0.000311,,
340,0.000165,,
339.5,0.000226,,
339,0.000237,,
338.5,0.000326,,
338,0.000103,,
337.5,-0.000035,,
337,0.000395,,
336.5,0.00039,,
336,0.00053,,
335.5,0.000147,,
335,0.000284,,
334.5,-0.000106,,
334,0.000156,,
333.5,0.000507,,
333,0.000293,,
332.5,0.000344,,
332,-0.000028,,
331.5,0.000404,,
331,0.000153,,
330.5,0.000313,,
330,0.000265,,
329.5,0.000177,,
329,0.000378,,
328.5,0.00019,,
328,0.000446,,
327.5,0.000341,,
327,0.00018,,
326.5,0.000432,,
326,-0.000096,,
325.5,0.000268,,
325,0.000452,,
324.5,0.000492,,
324,0.00032,,
323.5,0.000287,,
323,0.000213,,
322.5,0.000238,,
322,-0.000098,,
321.5,0.000199,,
321,0.000061,,
320.5,0.000546,,
320,0.000249,,
319.5,0.000277,,
319,0.00021,,
318.5,0.000496,,
318,0.000413,,
317.5,0.000268,,
317,0.000153,,
316.5,0.000423,,
316,0.000391,,
315.5,0.000268,,
315,0.00022,,
314.5,0.000183,,
314,0.00038,,
313.5,0.000466,,
313,0.000585,,
312.5,0.000313,,
312,0.000505,,
311.5,0.00028,,
311,0.000482,,
310.5,0.000326,,
310,0.000532,,
309.5,0.000173,,
309,0.000225,,
308.5,0.000337,,
308,0.000448,,
307.5,0.000264,,
307,0.000638,,
306.5,0.000282,,
306,0.000515,,
305.5,0.000225,,
305,0.000446,,
304.5,0.000516,,
304,0.000485,,
303.5,0.000511,,
303,0.000402,,
302.5,0.000468,,
302,0.000486,,
301.5,0.000326,,
301,0.000395,,
300.5,0.000806,,
300,0.000609,,
299.5,0.000432,,
299,0.00041,,
298.5,0.00066,,
298,0.000644,,
297.5,0.000307,,
297,0.000743,,
296.5,0.000767,,
296,0.000754,,
295.5,0.000548,,
295,0.000637,,
294.5,0.000582,,
294,0.000358,,
293.5,0.00063,,
293,0.000842,,
292.5,0.000641,,
292,0.000807,,
291.5,0.000985,,
291,0.000797,,
290.5,0.000806,,
290,0.000737,,
289.5,0.000971,,
289,0.001058,,
288.5,0.00076,,
288,0.000791,,
287.5,0.000809,,
287,0.00113,,
286.5,0.001014,,
286,0.001138,,
285.5,0.000716,,
285,0.001105,,
284.5,0.000907,,
284,0.00087,,
283.5,0.001029,,
283,0.001009,,
282.5,0.001455,,
