Wavelength (nm),Absorbance,Title,Time
600,0.001848,5BfinalD50,1/24/2014 2:16:46 PM
599.5,0.0027,,
599,0.002979,,
598.5,0.002233,,
598,0.00179,,
597.5,0.002168,,
597,0.002439,,
596.5,0.002285,,
596,0.001702,,
595.5,0.002018,,
595,0.003132,,
594.5,0.002771,,
594,0.002471,,
593.5,0.002546,,
593,0.00259,,
592.5,0.003107,,
592,0.002713,,
591.5,0.002614,,
591,0.002605,,
590.5,0.003361,,
590,0.003049,,
589.5,0.002448,,
589,0.003007,,
588.5,0.003146,,
588,0.003419,,
587.5,0.00323,,
587,0.002998,,
586.5,0.003223,,
586,0.002889,,
585.5,0.003208,,
585,0.003674,,
584.5,0.002631,,
584,0.003145,,
583.5,0.003633,,
583,0.003664,,
582.5,0.003444,,
582,0.003715,,
581.5,0.003348,,
581,0.003067,,
580.5,0.003596,,
580,0.003667,,
579.5,0.003895,,
579,0.003546,,
578.5,0.003397,,
578,0.003863,,
577.5,0.003458,,
577,0.00383,,
576.5,0.003659,,
576,0.003939,,
575.5,0.003357,,
575,0.004012,,
574.5,0.003637,,
574,0.003996,,
573.5,0.003579,,
573,0.003524,,
572.5,0.004016,,
572,0.003977,,
571.5,0.003806,,
571,0.003722,,
570.5,0.003515,,
570,0.003701,,
569.5,0.004489,,
569,0.004081,,
568.5,0.003776,,
568,0.004124,,
567.5,0.003706,,
567,0.003753,,
566.5,0.003884,,
566,0.00398,,
565.5,0.003827,,
565,0.003521,,
564.5,0.003954,,
564,0.003646,,
563.5,0.003706,,
563,0.003789,,
562.5,0.003872,,
562,0.003788,,
561.5,0.003794,,
561,0.003869,,
560.5,0.003868,,
560,0.003759,,
559.5,0.004059,,
559,0.003652,,
558.5,0.003926,,
558,0.003887,,
557.5,0.003853,,
557,0.003865,,
556.5,0.003726,,
556,0.003471,,
555.5,0.003761,,
555,0.003763,,
554.5,0.003948,,
554,0.003789,,
553.5,0.003886,,
553,0.00334,,
552.5,0.003704,,
552,0.003163,,
551.5,0.003495,,
551,0.00398,,
550.5,0.003471,,
550,0.003725,,
549.5,0.003264,,
549,0.003992,,
548.5,0.003658,,
548,0.003276,,
547.5,0.003866,,
547,0.003765,,
546.5,0.003492,,
546,0.003447,,
545.5,0.003517,,
545,0.003212,,
544.5,0.003387,,
544,0.003575,,
543.5,0.0035,,
543,0.003134,,
542.5,0.003135,,
542,0.003261,,
541.5,0.003173,,
541,0.003242,,
540.5,0.002959,,
540,0.002995,,
539.5,0.003181,,
539,0.002959,,
538.5,0.002819,,
538,0.003004,,
537.5,0.002593,,
537,0.002627,,
536.5,0.002825,,
536,0.002691,,
535.5,0.00254,,
535,0.00248,,
534.5,0.002477,,
534,0.002222,,
533.5,0.002449,,
533,0.002253,,
532.5,0.001951,,
532,0.002297,,
531.5,0.002165,,
531,0.001839,,
530.5,0.001837,,
530,0.001734,,
529.5,0.001796,,
529,0.001771,,
528.5,0.001641,,
528,0.001774,,
527.5,0.001716,,
527,0.001554,,
526.5,0.001656,,
526,0.001735,,
525.5,0.001385,,
525,0.001553,,
524.5,0.001355,,
524,0.00132,,
523.5,0.001751,,
523,0.001159,,
522.5,0.00105,,
522,0.001213,,
521.5,0.000928,,
521,0.001593,,
520.5,0.001201,,
520,0.001096,,
519.5,0.001504,,
519,0.000941,,
518.5,0.00119,,
518,0.001259,,
517.5,0.001205,,
517,0.001172,,
516.5,0.001298,,
516,0.001295,,
515.5,0.00112,,
515,0.001114,,
514.5,0.001184,,
514,0.001388,,
513.5,0.001128,,
513,0.001088,,
512.5,0.001399,,
512,0.001364,,
511.5,0.001047,,
511,0.001385,,
510.5,0.001092,,
510,0.000922,,
509.5,0.001427,,
509,0.00148,,
508.5,0.00105,,
508,0.000977,,
507.5,0.001401,,
507,0.001147,,
506.5,0.000882,,
506,0.001582,,
505.5,0.001128,,
505,0.001121,,
504.5,0.001247,,
504,0.001369,,
503.5,0.000927,,
503,0.001851,,
502.5,0.000922,,
502,0.001003,,
501.5,0.001487,,
501,0.001256,,
500.5,0.001064,,
500,0.001078,,
499.5,0.000829,,
499,0.000972,,
498.5,0.001197,,
498,0.001149,,
497.5,0.000946,,
497,0.001333,,
496.5,0.001048,,
496,0.001065,,
495.5,0.001015,,
495,0.001501,,
494.5,0.001306,,
494,0.001282,,
493.5,0.001126,,
493,0.001201,,
492.5,0.001137,,
492,0.001165,,
491.5,0.00123,,
491,0.001319,,
490.5,0.001314,,
490,0.001168,,
489.5,0.001406,,
489,0.001376,,
488.5,0.001104,,
488,0.001181,,
487.5,0.00126,,
487,0.001349,,
486.5,0.001203,,
486,0.001247,,
485.5,0.00123,,
485,0.001081,,
484.5,0.001112,,
484,0.001112,,
483.5,0.00119,,
483,0.001069,,
482.5,0.001113,,
482,0.001184,,
481.5,0.001096,,
481,0.001042,,
480.5,0.001155,,
480,0.001129,,
479.5,0.001211,,
479,0.000915,,
478.5,0.001217,,
478,0.001015,,
477.5,0.001227,,
477,0.000964,,
476.5,0.001041,,
476,0.001131,,
475.5,0.001207,,
475,0.001232,,
474.5,0.001086,,
474,0.001212,,
473.5,0.001166,,
473,0.000961,,
472.5,0.001063,,
472,0.001165,,
471.5,0.000924,,
471,0.001092,,
470.5,0.000932,,
470,0.001295,,
469.5,0.00139,,
469,0.001092,,
468.5,0.001093,,
468,0.000951,,
467.5,0.001196,,
467,0.001106,,
466.5,0.001349,,
466,0.001147,,
465.5,0.000829,,
465,0.001206,,
464.5,0.001049,,
464,0.001119,,
463.5,0.001016,,
463,0.001011,,
462.5,0.000908,,
462,0.001081,,
461.5,0.001049,,
461,0.001068,,
460.5,0.001257,,
460,0.001073,,
459.5,0.001128,,
459,0.001345,,
458.5,0.001044,,
458,0.001094,,
457.5,0.001206,,
457,0.001076,,
456.5,0.001197,,
456,0.001143,,
455.5,0.0011,,
455,0.001212,,
454.5,0.001376,,
454,0.001091,,
453.5,0.000967,,
453,0.001019,,
452.5,0.001241,,
452,0.001268,,
451.5,0.001021,,
451,0.001145,,
450.5,0.00129,,
450,0.000998,,
449.5,0.001093,,
449,0.001028,,
448.5,0.001397,,
448,0.001182,,
447.5,0.001212,,
447,0.001156,,
446.5,0.001285,,
446,0.001345,,
445.5,0.001039,,
445,0.00114,,
444.5,0.001092,,
444,0.001114,,
443.5,0.001113,,
443,0.00122,,
442.5,0.001173,,
442,0.001203,,
441.5,0.001381,,
441,0.001395,,
440.5,0.001272,,
440,0.001253,,
439.5,0.001103,,
439,0.001182,,
438.5,0.001244,,
438,0.001171,,
437.5,0.001026,,
437,0.0012,,
436.5,0.001274,,
436,0.001348,,
435.5,0.001441,,
435,0.001024,,
434.5,0.001168,,
434,0.001057,,
433.5,0.001122,,
433,0.001238,,
432.5,0.00138,,
432,0.001364,,
431.5,0.001161,,
431,0.001119,,
430.5,0.001123,,
430,0.001287,,
429.5,0.001122,,
429,0.001189,,
428.5,0.001407,,
428,0.00113,,
427.5,0.00122,,
427,0.001326,,
426.5,0.001277,,
426,0.001336,,
425.5,0.001206,,
425,0.001129,,
424.5,0.001339,,
424,0.001342,,
423.5,0.001386,,
423,0.00131,,
422.5,0.001379,,
422,0.001365,,
421.5,0.001279,,
421,0.001316,,
420.5,0.001398,,
420,0.001388,,
419.5,0.001315,,
419,0.00139,,
418.5,0.00112,,
418,0.001176,,
417.5,0.001226,,
417,0.001444,,
416.5,0.001304,,
416,0.001455,,
415.5,0.001426,,
415,0.001337,,
414.5,0.001185,,
414,0.001056,,
413.5,0.001202,,
413,0.001113,,
412.5,0.001224,,
412,0.001025,,
411.5,0.001222,,
411,0.001273,,
410.5,0.001386,,
410,0.001466,,
409.5,0.001272,,
409,0.001401,,
408.5,0.001372,,
408,0.001469,,
407.5,0.001178,,
407,0.001187,,
406.5,0.001039,,
406,0.001506,,
405.5,0.001338,,
405,0.001515,,
404.5,0.001451,,
404,0.001315,,
403.5,0.001324,,
403,0.001485,,
402.5,0.001311,,
402,0.001267,,
401.5,0.001354,,
401,0.001109,,
400.5,0.001595,,
400,0.001238,,
399.5,0.000999,,
399,0.001234,,
398.5,0.001367,,
398,0.001458,,
397.5,0.001282,,
397,0.001284,,
396.5,0.001538,,
396,0.001634,,
395.5,0.001489,,
395,0.001413,,
394.5,0.001263,,
394,0.001388,,
393.5,0.001154,,
393,0.001486,,
392.5,0.001494,,
392,0.001366,,
391.5,0.0013,,
391,0.001589,,
390.5,0.001214,,
390,0.00125,,
389.5,0.001282,,
389,0.001075,,
388.5,0.001589,,
388,0.001421,,
387.5,0.001595,,
387,0.001693,,
386.5,0.00157,,
386,0.001614,,
385.5,0.00151,,
385,0.001745,,
384.5,0.001522,,
384,0.001684,,
383.5,0.001504,,
383,0.001441,,
382.5,0.001741,,
382,0.00135,,
381.5,0.001749,,
381,0.001697,,
380.5,0.001607,,
380,0.00154,,
379.5,0.00144,,
379,0.001876,,
378.5,0.00179,,
