Wavelength (nm),Absorbance,Title,Time
600,0.001269,1AfinalD50,1/23/2014 12:37:45 PM
599.5,0.002017,,
599,0.001125,,
598.5,0.001154,,
598,0.001258,,
597.5,0.001161,,
597,0.001452,,
596.5,0.0015,,
596,0.001403,,
595.5,0.001382,,
595,0.001809,,
594.5,0.001485,,
594,0.00122,,
593.5,0.001593,,
593,0.001021,,
592.5,0.001194,,
592,0.001424,,
591.5,0.001236,,
591,0.001285,,
590.5,0.001355,,
590,0.001444,,
589.5,0.001306,,
589,0.001005,,
588.5,0.000994,,
588,0.001252,,
587.5,0.001045,,
587,0.00127,,
586.5,0.001094,,
586,0.001578,,
585.5,0.001248,,
585,0.000909,,
584.5,0.001601,,
584,0.001363,,
583.5,0.000905,,
583,0.001786,,
582.5,0.001228,,
582,0.001555,,
581.5,0.001428,,
581,0.001183,,
580.5,0.001469,,
580,0.000842,,
579.5,0.001607,,
579,0.001769,,
578.5,0.001218,,
578,0.001353,,
577.5,0.001494,,
577,0.001309,,
576.5,0.001081,,
576,0.001086,,
575.5,0.00105,,
575,0.000892,,
574.5,0.001135,,
574,0.001594,,
573.5,0.001633,,
573,0.001457,,
572.5,0.001345,,
572,0.001319,,
571.5,0.00171,,
571,0.001121,,
570.5,0.001612,,
570,0.001189,,
569.5,0.001242,,
569,0.001435,,
568.5,0.001212,,
568,0.001271,,
567.5,0.001207,,
567,0.001483,,
566.5,0.001136,,
566,0.001496,,
565.5,0.001306,,
565,0.001244,,
564.5,0.000785,,
564,0.001675,,
563.5,0.001113,,
563,0.001419,,
562.5,0.001194,,
562,0.001179,,
561.5,0.001306,,
561,0.001301,,
560.5,0.001155,,
560,0.001274,,
559.5,0.001377,,
559,0.001622,,
558.5,0.001486,,
558,0.000781,,
557.5,0.001667,,
557,0.001311,,
556.5,0.001203,,
556,0.001409,,
555.5,0.001349,,
555,0.000882,,
554.5,0.001553,,
554,0.001224,,
553.5,0.000932,,
553,0.001203,,
552.5,0.001309,,
552,0.000989,,
551.5,0.001408,,
551,0.001374,,
550.5,0.001631,,
550,0.00098,,
549.5,0.001603,,
549,0.001715,,
548.5,0.001362,,
548,0.000964,,
547.5,0.001252,,
547,0.001266,,
546.5,0.000912,,
546,0.001161,,
545.5,0.001091,,
545,0.000937,,
544.5,0.001081,,
544,0.001126,,
543.5,0.001377,,
543,0.001385,,
542.5,0.001142,,
542,0.001359,,
541.5,0.001506,,
541,0.001301,,
540.5,0.001222,,
540,0.001498,,
539.5,0.00108,,
539,0.001468,,
538.5,0.001369,,
538,0.001251,,
537.5,0.001128,,
537,0.001121,,
536.5,0.001209,,
536,0.001164,,
535.5,0.00131,,
535,0.001234,,
534.5,0.001138,,
534,0.001362,,
533.5,0.001209,,
533,0.001374,,
532.5,0.001162,,
532,0.00137,,
531.5,0.001117,,
531,0.001225,,
530.5,0.001181,,
530,0.001198,,
529.5,0.001177,,
529,0.001303,,
528.5,0.001433,,
528,0.001198,,
527.5,0.001357,,
527,0.00116,,
526.5,0.001454,,
526,0.001354,,
525.5,0.001,,
525,0.001361,,
524.5,0.001219,,
524,0.001494,,
523.5,0.001023,,
523,0.001095,,
522.5,0.000962,,
522,0.001323,,
521.5,0.001532,,
521,0.001452,,
520.5,0.001141,,
520,0.001037,,
519.5,0.001414,,
519,0.000977,,
518.5,0.00127,,
518,0.001393,,
517.5,0.00145,,
517,0.001123,,
516.5,0.001073,,
516,0.001313,,
515.5,0.001282,,
515,0.001311,,
514.5,0.001353,,
514,0.001251,,
513.5,0.001246,,
513,0.001514,,
512.5,0.001331,,
512,0.000921,,
511.5,0.001283,,
511,0.001123,,
510.5,0.001356,,
510,0.001643,,
509.5,0.001139,,
509,0.001182,,
508.5,0.001186,,
508,0.001623,,
507.5,0.001223,,
507,0.00188,,
506.5,0.001067,,
506,0.001448,,
505.5,0.001088,,
505,0.001551,,
504.5,0.001135,,
504,0.001409,,
503.5,0.001772,,
503,0.001677,,
502.5,0.001665,,
502,0.001565,,
501.5,0.001258,,
501,0.001225,,
500.5,0.00107,,
500,0.001604,,
499.5,0.001055,,
499,0.001196,,
498.5,0.001369,,
498,0.00128,,
497.5,0.001451,,
497,0.001164,,
496.5,0.001434,,
496,0.00119,,
495.5,0.00106,,
495,0.001387,,
494.5,0.001535,,
494,0.001344,,
493.5,0.001151,,
493,0.001399,,
492.5,0.001387,,
492,0.001276,,
491.5,0.001469,,
491,0.001461,,
490.5,0.001199,,
490,0.001384,,
489.5,0.001437,,
489,0.001548,,
488.5,0.001489,,
488,0.001434,,
487.5,0.001269,,
487,0.001409,,
486.5,0.001302,,
486,0.001453,,
485.5,0.001325,,
485,0.001437,,
484.5,0.001516,,
484,0.001381,,
483.5,0.001515,,
483,0.001447,,
482.5,0.001515,,
482,0.0014,,
481.5,0.001562,,
481,0.001495,,
480.5,0.001244,,
480,0.0014,,
479.5,0.001497,,
479,0.001476,,
478.5,0.001557,,
478,0.001291,,
477.5,0.001608,,
477,0.00155,,
476.5,0.001383,,
476,0.001735,,
475.5,0.001277,,
475,0.001316,,
474.5,0.00146,,
474,0.001458,,
473.5,0.001432,,
473,0.001537,,
472.5,0.001492,,
472,0.001509,,
471.5,0.001471,,
471,0.001508,,
470.5,0.001434,,
470,0.001458,,
469.5,0.001349,,
469,0.001516,,
468.5,0.001536,,
468,0.001239,,
467.5,0.00135,,
467,0.001502,,
466.5,0.001529,,
466,0.001592,,
465.5,0.0013,,
465,0.001645,,
464.5,0.001359,,
464,0.001403,,
463.5,0.001545,,
463,0.001858,,
462.5,0.001399,,
462,0.001436,,
461.5,0.001698,,
461,0.001442,,
460.5,0.001472,,
460,0.001527,,
459.5,0.001628,,
459,0.001617,,
458.5,0.001558,,
458,0.001504,,
457.5,0.001545,,
457,0.0014,,
456.5,0.001458,,
456,0.001483,,
455.5,0.001258,,
455,0.001582,,
454.5,0.001626,,
454,0.001622,,
453.5,0.001767,,
453,0.001594,,
452.5,0.001773,,
452,0.001356,,
451.5,0.001397,,
451,0.001557,,
450.5,0.001461,,
450,0.001517,,
449.5,0.001526,,
449,0.001632,,
448.5,0.001453,,
448,0.001278,,
447.5,0.001507,,
447,0.001358,,
446.5,0.001621,,
446,0.001512,,
445.5,0.0016,,
445,0.001348,,
444.5,0.001739,,
444,0.001447,,
443.5,0.001636,,
443,0.00155,,
442.5,0.001426,,
442,0.001683,,
441.5,0.001488,,
441,0.001729,,
440.5,0.001704,,
440,0.001799,,
439.5,0.001595,,
439,0.001781,,
438.5,0.001672,,
438,0.001453,,
437.5,0.001644,,
437,0.00159,,
436.5,0.001679,,
436,0.001474,,
435.5,0.001434,,
435,0.001568,,
434.5,0.0017,,
434,0.001712,,
433.5,0.001836,,
433,0.001879,,
432.5,0.001744,,
432,0.001689,,
431.5,0.001733,,
431,0.001646,,
430.5,0.00159,,
430,0.001605,,
429.5,0.001561,,
429,0.00161,,
428.5,0.00165,,
428,0.001788,,
427.5,0.001532,,
427,0.001674,,
426.5,0.001722,,
426,0.001736,,
425.5,0.001582,,
425,0.001623,,
424.5,0.001717,,
424,0.001642,,
423.5,0.001685,,
423,0.001709,,
422.5,0.001741,,
422,0.001745,,
421.5,0.001838,,
421,0.001702,,
420.5,0.001744,,
420,0.001624,,
419.5,0.001766,,
419,0.001874,,
418.5,0.001759,,
418,0.001639,,
417.5,0.001657,,
417,0.001871,,
416.5,0.001771,,
416,0.001729,,
415.5,0.001637,,
415,0.001989,,
414.5,0.00167,,
414,0.001686,,
413.5,0.001763,,
413,0.001598,,
412.5,0.001605,,
412,0.001684,,
411.5,0.001666,,
411,0.001878,,
410.5,0.001541,,
410,0.00156,,
409.5,0.001826,,
409,0.001926,,
408.5,0.001905,,
408,0.001769,,
407.5,0.001576,,
407,0.001938,,
406.5,0.001471,,
406,0.00166,,
405.5,0.001792,,
405,0.001895,,
404.5,0.001902,,
404,0.001733,,
403.5,0.001969,,
403,0.001772,,
402.5,0.001811,,
402,0.001646,,
401.5,0.002218,,
401,0.001477,,
