Wavelength (nm),Absorbance,Title,Time
600,0.000148,3Ainitial2d,1/23/2014 10:57:21 AM
599.5,0.000773,,
599,0.000396,,
598.5,0.000406,,
598,0.000478,,
597.5,0.001115,,
597,0.000362,,
596.5,0.000748,,
596,0.000497,,
595.5,0.000512,,
595,0.000402,,
594.5,0.000664,,
594,0.000941,,
593.5,-0.000168,,
593,0.000853,,
592.5,0.000728,,
592,0.000482,,
591.5,0.000086,,
591,0.001343,,
590.5,0.000691,,
590,0.000754,,
589.5,0.000518,,
589,0.000397,,
588.5,0.00029,,
588,0.000078,,
587.5,0.000555,,
587,0.001039,,
586.5,0.001157,,
586,0.000653,,
585.5,0.000675,,
585,0.000735,,
584.5,0.000719,,
584,0.000362,,
583.5,0.000594,,
583,0.00071,,
582.5,0.001095,,
582,0.000468,,
581.5,0.000895,,
581,0.000669,,
580.5,0.00047,,
580,0.000272,,
579.5,0.00105,,
579,0.000805,,
578.5,0.000516,,
578,0.000863,,
577.5,0.000216,,
577,0.000666,,
576.5,0.000731,,
576,0.000462,,
575.5,0.000543,,
575,0.000776,,
574.5,0.000519,,
574,0.000815,,
573.5,0.000218,,
573,0.000583,,
572.5,0.000507,,
572,0.000635,,
571.5,-0.000013,,
571,0.000203,,
570.5,0.000419,,
570,0.000366,,
569.5,0.000844,,
569,0.000861,,
568.5,0.000468,,
568,0.000445,,
567.5,0.000596,,
567,0.00013,,
566.5,0.000498,,
566,0.000025,,
565.5,0.000549,,
565,0.000275,,
564.5,0.0004,,
564,0.000444,,
563.5,0.0003,,
563,-0.000092,,
562.5,0.000385,,
562,0.000173,,
561.5,0.000067,,
561,0.000799,,
560.5,0.000058,,
560,0.000443,,
559.5,0.000371,,
559,0.000238,,
558.5,0.000555,,
558,0.000243,,
557.5,0.000805,,
557,0.000411,,
556.5,0.000065,,
556,0.000288,,
555.5,0.000204,,
555,0.000178,,
554.5,0.000038,,
554,0.000259,,
553.5,0.000254,,
553,0.000303,,
552.5,0.000835,,
552,-0.000308,,
551.5,0.000107,,
551,0.000191,,
550.5,0.000475,,
550,0.00008,,
549.5,0.000101,,
549,0.000181,,
548.5,-0.000009,,
548,0.000274,,
547.5,0.000112,,
547,0.000403,,
546.5,0.000077,,
546,0.000065,,
545.5,0.000522,,
545,0.000346,,
544.5,-0.000203,,
544,0.000031,,
543.5,0.000128,,
543,0.000477,,
542.5,0.000007,,
542,0.000259,,
541.5,0.000139,,
541,0.000048,,
540.5,0.000163,,
540,0.000284,,
539.5,0.00051,,
539,0.000022,,
538.5,-0.000031,,
538,-0.000155,,
537.5,0.000113,,
537,-0.000036,,
536.5,0.000322,,
536,0.000443,,
535.5,-0.000061,,
535,0.000057,,
534.5,0.000033,,
534,0.000068,,
533.5,0.000172,,
533,0.000104,,
532.5,0.000212,,
532,-0.000001,,
531.5,0.000155,,
531,0.000045,,
530.5,0.000094,,
530,0.000112,,
529.5,0.000122,,
529,0.000236,,
528.5,0.000107,,
528,0.000116,,
527.5,0.000241,,
527,-0.000007,,
526.5,0.000427,,
526,0.000291,,
525.5,0.000486,,
525,0.000205,,
524.5,0.000117,,
524,0.000342,,
523.5,-0.000028,,
523,0.000184,,
522.5,0.000163,,
522,0.000284,,
521.5,0.000236,,
521,-0.000092,,
520.5,0.000284,,
520,0.000259,,
519.5,0.00014,,
519,0.000189,,
518.5,0.000058,,
518,0.000185,,
517.5,0.000127,,
517,0.000141,,
516.5,0.000042,,
516,0.000099,,
515.5,0.000056,,
515,-0.000276,,
514.5,-0.000008,,
514,0.000144,,
513.5,0.000219,,
513,0.0002,,
512.5,0.000084,,
512,-0.000082,,
511.5,0.000463,,
511,0.000292,,
510.5,0.000065,,
510,-0.000124,,
509.5,0.000117,,
509,0.000264,,
508.5,0.000179,,
508,-0.000508,,
507.5,-0.000036,,
507,0.000261,,
506.5,-0.000249,,
506,0.000228,,
505.5,-0.000117,,
505,-0.000147,,
504.5,-0.000164,,
504,-0.000199,,
503.5,0.000255,,
503,0.000172,,
502.5,-0.000135,,
502,0.000268,,
501.5,0.000205,,
501,0.000107,,
500.5,-0.000082,,
500,0.000126,,
499.5,0.000189,,
499,0.000164,,
498.5,0.000167,,
498,0.000241,,
497.5,0.000195,,
497,0.000122,,
496.5,0.000035,,
496,0.000061,,
495.5,0.000165,,
495,0.000305,,
494.5,-0.000066,,
494,-0.000005,,
493.5,0.00024,,
493,0.000161,,
492.5,0.000317,,
492,0.000075,,
491.5,0.000165,,
491,0.000083,,
490.5,0.000246,,
490,0.000321,,
489.5,0.000032,,
489,0.000035,,
488.5,0.000119,,
488,0.000189,,
487.5,0.000284,,
487,0.000157,,
486.5,0.000146,,
486,0.000306,,
485.5,0.000241,,
485,0.000155,,
484.5,0.000204,,
484,0.000115,,
483.5,-0.000004,,
483,0.000164,,
482.5,0.00028,,
482,0.000185,,
481.5,0.000179,,
481,0,,
480.5,0.000278,,
480,0.000081,,
479.5,0.000332,,
479,0.000056,,
478.5,0.000384,,
478,0.000288,,
477.5,0.000135,,
477,0.000199,,
476.5,0.000011,,
476,0.000153,,
475.5,0.000151,,
475,0.0001,,
474.5,0.000238,,
474,0.000334,,
473.5,0.000336,,
473,0.000394,,
472.5,0.000437,,
472,0.000029,,
471.5,0.000325,,
471,0.000306,,
470.5,0.000026,,
470,0.000188,,
469.5,0.000189,,
469,0.00027,,
468.5,0.000338,,
468,0.000422,,
467.5,0.00023,,
467,0.000233,,
466.5,0.000415,,
466,0.000296,,
465.5,0.000327,,
465,0.000375,,
464.5,0.000217,,
464,0.000467,,
463.5,0.000395,,
463,0.000212,,
462.5,0.000067,,
462,0.000166,,
461.5,0.000241,,
461,0.000398,,
460.5,0.00014,,
460,0.000113,,
459.5,0.000219,,
459,0.000332,,
458.5,0.000166,,
458,0.000493,,
457.5,-0.000009,,
457,0.000499,,
456.5,0.000314,,
456,0.000421,,
455.5,0.000463,,
455,0.000421,,
454.5,0.000394,,
454,0.000237,,
453.5,0.000636,,
453,0.00032,,
452.5,0.000191,,
452,0.000402,,
451.5,0.000617,,
451,0.000231,,
450.5,0.000499,,
450,0.000022,,
449.5,0.000428,,
449,0.000305,,
448.5,0.000479,,
448,0.000449,,
447.5,0.000481,,
447,0.000285,,
446.5,0.000341,,
446,0.000192,,
445.5,0.000323,,
445,0.00028,,
444.5,0.000396,,
444,0.000158,,
443.5,0.000412,,
443,0.000455,,
442.5,0.00059,,
442,0.000294,,
441.5,0.00017,,
441,0.000249,,
440.5,0.000461,,
440,0.000373,,
439.5,0.000294,,
439,0.000192,,
438.5,0.000066,,
438,0.000188,,
437.5,0.000295,,
437,0.000469,,
436.5,0.000506,,
436,0.000331,,
435.5,0.000352,,
435,0.000312,,
434.5,0.000143,,
434,0.000271,,
433.5,0.000146,,
433,0.000291,,
432.5,0.000319,,
432,0.000466,,
431.5,0.000175,,
431,0.000239,,
430.5,0.000342,,
430,0.000381,,
429.5,0.00029,,
429,0.000085,,
428.5,0.000173,,
428,0.00025,,
427.5,0.000378,,
427,0.000198,,
426.5,0.000228,,
426,0.000457,,
425.5,0.000441,,
425,0.000397,,
424.5,0.000239,,
424,0.000463,,
423.5,0.000363,,
423,0.000363,,
422.5,0.000384,,
422,0.000237,,
421.5,0.000332,,
421,0.000348,,
420.5,0.000254,,
420,0.000273,,
419.5,0.000147,,
419,0.000435,,
418.5,0.000334,,
418,0.00037,,
417.5,0.000369,,
417,0.000432,,
416.5,0.000327,,
416,0.000218,,
415.5,0.000347,,
415,0.000408,,
414.5,0.000354,,
414,0.000299,,
413.5,0.000122,,
413,0.000115,,
412.5,0.000265,,
412,0.000312,,
411.5,0.000568,,
411,0.000526,,
410.5,0.000491,,
410,0.000468,,
409.5,0.000391,,
409,0.000626,,
408.5,0.000407,,
408,0.000549,,
407.5,0.000323,,
407,0.000324,,
406.5,0.000382,,
406,-0.000053,,
405.5,0.000195,,
405,0.000576,,
404.5,0.000583,,
404,0.000254,,
403.5,0.000566,,
403,0.000421,,
402.5,0.000582,,
402,0.000583,,
401.5,-0.000084,,
401,-0.000127,,
400.5,0.00072,,
400,0.000054,,
399.5,0.000084,,
399,0.000302,,
398.5,0.000152,,
398,0.000272,,
397.5,0.000428,,
397,0.000434,,
396.5,-0.000042,,
396,0.000512,,
395.5,0.000402,,
395,0.000437,,
394.5,0.000488,,
394,0.000532,,
393.5,0.000425,,
