Wavelength (nm),Absorbance,Title,Time
600,0.000706,4BfinalD50,1/24/2014 1:30:41 PM
599.5,0.000158,,
599,0.000191,,
598.5,0.000842,,
598,0.000546,,
597.5,0.000399,,
597,0.000329,,
596.5,0.000968,,
596,0.000065,,
595.5,0.000438,,
595,0.000735,,
594.5,0.000442,,
594,0.000556,,
593.5,0.000364,,
593,0.000421,,
592.5,-0.000194,,
592,0.000463,,
591.5,0.000429,,
591,0.000793,,
590.5,0.000609,,
590,0.001349,,
589.5,-0.000133,,
589,0.000238,,
588.5,0.000566,,
588,0.000297,,
587.5,0.000159,,
587,0.00067,,
586.5,0.00071,,
586,0.000028,,
585.5,0.000576,,
585,0.000565,,
584.5,0.000671,,
584,0.000264,,
583.5,0.001078,,
583,0.000781,,
582.5,0.000791,,
582,0.000483,,
581.5,0.000674,,
581,0.000513,,
580.5,0.000274,,
580,0.000416,,
579.5,0.000496,,
579,0.000401,,
578.5,0.000454,,
578,0.000803,,
577.5,0.000593,,
577,0.000824,,
576.5,0.000493,,
576,0.000262,,
575.5,0.000788,,
575,0.000907,,
574.5,0.000844,,
574,0.000295,,
573.5,0.000532,,
573,0.000476,,
572.5,0.000689,,
572,0.000144,,
571.5,0.000441,,
571,0.000442,,
570.5,0.000377,,
570,0.000434,,
569.5,0.000179,,
569,0.0009,,
568.5,0.000555,,
568,0.000334,,
567.5,0.000537,,
567,0.000364,,
566.5,0.000627,,
566,0.000484,,
565.5,0.000393,,
565,0.000405,,
564.5,0.00066,,
564,0.00077,,
563.5,0.000355,,
563,0.000409,,
562.5,0.000629,,
562,0.000538,,
561.5,0.000392,,
561,0.00059,,
560.5,0.000604,,
560,0.000298,,
559.5,0.000479,,
559,0.00062,,
558.5,0.000603,,
558,0.00055,,
557.5,0.000679,,
557,0.000165,,
556.5,0.001021,,
556,0.000679,,
555.5,0.000833,,
555,0.000302,,
554.5,0.000282,,
554,0.000567,,
553.5,0.000624,,
553,0.000552,,
552.5,0.000479,,
552,0.00047,,
551.5,0.000511,,
551,0.00099,,
550.5,0.001045,,
550,0.000475,,
549.5,0.00051,,
549,0.000935,,
548.5,0.000695,,
548,0.000609,,
547.5,0.000403,,
547,0.000516,,
546.5,0.000773,,
546,0.000697,,
545.5,0.000504,,
545,0.000567,,
544.5,0.000624,,
544,0.00066,,
543.5,0.000533,,
543,0.000406,,
542.5,0.000604,,
542,0.000562,,
541.5,0.000503,,
541,0.00048,,
540.5,0.000406,,
540,0.000292,,
539.5,0.000774,,
539,0.00038,,
538.5,0.000805,,
538,0.000493,,
537.5,0.00054,,
537,0.000769,,
536.5,0.0007,,
536,0.000558,,
535.5,0.000667,,
535,0.000524,,
534.5,0.000739,,
534,0.000778,,
533.5,0.000642,,
533,0.000667,,
532.5,0.000789,,
532,0.000543,,
531.5,0.000611,,
531,0.000539,,
530.5,0.000751,,
530,0.000647,,
529.5,0.000443,,
529,0.000509,,
528.5,0.000646,,
528,0.000954,,
527.5,0.000558,,
527,0.000742,,
526.5,0.000871,,
526,0.000695,,
525.5,0.000628,,
525,0.000671,,
524.5,0.00058,,
524,0.000652,,
523.5,0.000934,,
523,0.00061,,
522.5,0.000401,,
522,0.000787,,
521.5,0.000673,,
521,0.000448,,
520.5,0.000629,,
520,0.000574,,
519.5,0.000863,,
519,0.000746,,
518.5,0.000928,,
518,0.000883,,
517.5,0.000905,,
517,0.000716,,
516.5,0.000783,,
516,0.000943,,
515.5,0.000568,,
515,0.000258,,
514.5,0.000823,,
514,0.000473,,
513.5,0.000403,,
513,0.000635,,
512.5,0.000516,,
512,0.000472,,
511.5,0.000926,,
511,0.00069,,
510.5,0.000664,,
510,0.000738,,
509.5,0.000577,,
509,0.000723,,
508.5,0.000791,,
508,0.000481,,
507.5,0.000768,,
507,0.000992,,
506.5,0.000713,,
506,0.000671,,
505.5,0.000895,,
505,0.000456,,
504.5,0.000587,,
504,0.000887,,
503.5,0.000954,,
503,0.00074,,
502.5,0.000726,,
502,0.000837,,
501.5,0.000391,,
501,0.000768,,
500.5,0.00069,,
500,0.000497,,
499.5,0.00094,,
499,0.000612,,
498.5,0.000572,,
498,0.000833,,
497.5,0.00092,,
497,0.000831,,
496.5,0.00055,,
496,0.000712,,
495.5,0.000844,,
495,0.000895,,
494.5,0.000841,,
494,0.000955,,
493.5,0.000623,,
493,0.000834,,
492.5,0.00093,,
492,0.000888,,
491.5,0.000804,,
491,0.000781,,
490.5,0.000694,,
490,0.000764,,
489.5,0.000854,,
489,0.000824,,
488.5,0.000746,,
488,0.00094,,
487.5,0.000708,,
487,0.000842,,
486.5,0.000756,,
486,0.000724,,
485.5,0.000796,,
485,0.000913,,
484.5,0.000859,,
484,0.000901,,
483.5,0.000823,,
483,0.000869,,
482.5,0.000846,,
482,0.00095,,
481.5,0.00077,,
481,0.000934,,
480.5,0.000906,,
480,0.000877,,
479.5,0.000701,,
479,0.000667,,
478.5,0.000835,,
478,0.000726,,
477.5,0.001144,,
477,0.001106,,
476.5,0.000839,,
476,0.000909,,
475.5,0.000775,,
475,0.000822,,
474.5,0.000826,,
474,0.0009,,
473.5,0.001065,,
473,0.000957,,
472.5,0.000864,,
472,0.001027,,
471.5,0.000793,,
471,0.0008,,
470.5,0.00086,,
470,0.000818,,
469.5,0.000859,,
469,0.001089,,
468.5,0.000795,,
468,0.000643,,
467.5,0.000809,,
467,0.00092,,
466.5,0.000836,,
466,0.000819,,
465.5,0.000875,,
465,0.000959,,
464.5,0.000831,,
464,0.000939,,
463.5,0.000888,,
