Wavelength (nm),Absorbance,Title,Time
600,-0.000097,2AfinalD50,1/23/2014 1:22:57 PM
599.5,0.000538,,
599,0.000274,,
598.5,-0.00004,,
598,0.000025,,
597.5,0.000202,,
597,0.000027,,
596.5,0.000166,,
596,-0.000047,,
595.5,-0.0004,,
595,-0.000129,,
594.5,0.000272,,
594,0.000128,,
593.5,-0.000692,,
593,0.000018,,
592.5,0.000066,,
592,-0.00021,,
591.5,0.000579,,
591,0.000876,,
590.5,0.000018,,
590,0.000535,,
589.5,-0.00044,,
589,0.000142,,
588.5,0.000388,,
588,0.000646,,
587.5,0.000475,,
587,-0.000095,,
586.5,0.000713,,
586,0.000282,,
585.5,0.000045,,
585,0.00005,,
584.5,-0.000003,,
584,-0.000031,,
583.5,0.000344,,
583,0.000208,,
582.5,-0.000394,,
582,0.00028,,
581.5,0,,
581,0.000477,,
580.5,0.000327,,
580,0.000115,,
579.5,-0.00009,,
579,-0.00023,,
578.5,-0.000072,,
578,-0.000236,,
577.5,-0.000075,,
577,-0.000069,,
576.5,0.000512,,
576,-0.000016,,
575.5,0.000102,,
575,0.000118,,
574.5,0.000091,,
574,0.000246,,
573.5,0.000263,,
573,-0.000176,,
572.5,0.00045,,
572,0.000428,,
571.5,0.000251,,
571,-0.0002,,
570.5,-0.000196,,
570,-0.000256,,
569.5,-0.000208,,
569,0.000251,,
568.5,0.000149,,
568,0.000333,,
567.5,0.000192,,
567,-0.000031,,
566.5,-0.000163,,
566,0.000461,,
565.5,-0.000163,,
565,0.0004,,
564.5,0.000322,,
564,0.00031,,
563.5,0.000003,,
563,0.000191,,
562.5,0.00045,,
562,-0.000002,,
561.5,0.000059,,
561,0.000033,,
560.5,0.000469,,
560,0.000426,,
559.5,0.000074,,
559,0.000738,,
558.5,0.000549,,
558,-0.000003,,
557.5,0.000044,,
557,0.000371,,
556.5,0.000381,,
556,-0.000392,,
555.5,0.000045,,
555,0.000453,,
554.5,0.000149,,
554,0.000091,,
553.5,0.000148,,
553,0.000116,,
552.5,0.000332,,
552,-0.000134,,
551.5,0.000403,,
551,-0.000098,,
550.5,0.000214,,
550,-0.00009,,
549.5,0.000266,,
549,-0.000229,,
548.5,-0.000036,,
548,0.000292,,
547.5,0.000312,,
547,0.000345,,
546.5,0.000226,,
546,0.000155,,
545.5,0.000062,,
545,0.000105,,
544.5,0.000337,,
544,0.000225,,
543.5,0.000151,,
543,0.00052,,
542.5,0.000092,,
542,0.000279,,
541.5,0.000313,,
541,0.000186,,
540.5,0.000422,,
540,0.000065,,
539.5,0.000065,,
539,-0.000022,,
538.5,0.000302,,
538,0.00023,,
537.5,0.000233,,
537,0.000167,,
536.5,0.00024,,
536,0.000421,,
535.5,0.000264,,
535,0.000312,,
534.5,0.000052,,
534,0.000251,,
533.5,0.000272,,
533,0.000099,,
532.5,0.000448,,
532,0.000322,,
531.5,0.000377,,
531,0.000138,,
530.5,0.000359,,
530,0.00018,,
529.5,0.000194,,
529,0.000234,,
528.5,0.000183,,
528,0.000182,,
527.5,-0.000026,,
527,0.000147,,
526.5,0.000235,,
526,0.000061,,
525.5,0.000153,,
525,0.000092,,
524.5,0.00008,,
524,0.000265,,
523.5,0.000451,,
523,0.000483,,
522.5,0.000236,,
522,0.000072,,
521.5,0.000259,,
521,0.000131,,
520.5,0.000357,,
520,0.000286,,
519.5,0.000159,,
519,0.000173,,
518.5,0.000122,,
518,0.00002,,
517.5,0.000171,,
517,0.000485,,
516.5,0.000543,,
516,0.000056,,
515.5,0.000368,,
515,0.000467,,
514.5,0.000114,,
514,0.000181,,
513.5,0.000132,,
513,0.000191,,
512.5,0.000279,,
512,0.000281,,
511.5,0.000275,,
511,0.00033,,
510.5,-0.000049,,
510,0.000492,,
509.5,0.000029,,
509,-0.000052,,
508.5,0.00039,,
508,0.000457,,
507.5,-0.000029,,
507,0.000017,,
506.5,0.000148,,
506,0.00043,,
505.5,0.000206,,
505,0.000401,,
504.5,0.000011,,
504,0.000208,,
503.5,0.000271,,
503,0.000145,,
502.5,0.000645,,
502,-0.000022,,
501.5,-0.000036,,
501,0.000257,,
500.5,0.00023,,
500,0.000059,,
499.5,0.00063,,
499,0.000086,,
498.5,0.000309,,
498,0.000455,,
497.5,0.00024,,
497,0.000063,,
496.5,0.00015,,
496,0.000095,,
495.5,0.000337,,
495,0.000291,,
494.5,0.000326,,
494,0.000238,,
493.5,0.00021,,
493,0.000419,,
492.5,0.000303,,
492,0.000314,,
491.5,0.000171,,
491,0.000366,,
490.5,0.000392,,
490,0.000372,,
489.5,0.000283,,
489,0.000247,,
488.5,0.000167,,
488,0.000224,,
487.5,0.000265,,
487,0.000392,,
486.5,0.000223,,
486,0.000336,,
485.5,0.000316,,
485,0.000297,,
484.5,0.000321,,
484,0.000276,,
483.5,0.000213,,
483,0.000258,,
482.5,0.000372,,
482,0.000233,,
481.5,0.000386,,
481,0.000291,,
480.5,0.000185,,
480,0.000237,,
479.5,0.000273,,
479,0.00044,,
478.5,0.000229,,
478,0.000388,,
477.5,0.000513,,
477,0.000396,,
476.5,0.000323,,
476,0.00048,,
475.5,0.000466,,
475,0.000505,,
474.5,0.000556,,
474,0.000639,,
473.5,0.000485,,
473,0.000551,,
472.5,0.000384,,
472,0.000126,,
471.5,0.00049,,
471,0.000394,,
470.5,0.000411,,
470,0.000375,,
469.5,0.000285,,
469,0.00047,,
468.5,0.000586,,
468,0.000252,,
467.5,0.000377,,
467,0.00045,,
466.5,0.000236,,
466,0.000587,,
465.5,0.000341,,
465,0.000369,,
464.5,0.000536,,
464,0.000377,,
463.5,0.000229,,
463,0.000175,,
462.5,0.00031,,
462,0.000517,,
461.5,0.000257,,
461,0.000408,,
460.5,0.000414,,
460,0.000333,,
459.5,0.000455,,
459,0.000377,,
458.5,0.000304,,
458,0.000477,,
457.5,0.000375,,
457,0.000638,,
456.5,0.000264,,
456,0.000379,,
455.5,0.000432,,
455,0.000547,,
454.5,0.00028,,
454,0.000258,,
453.5,0.000487,,
453,0.000316,,
452.5,0.000386,,
452,0.000277,,
451.5,0.000461,,
451,0.000393,,
450.5,0.000534,,
450,0.000589,,
449.5,0.000147,,
449,0.000527,,
448.5,0.00044,,
448,0.00034,,
447.5,0.000299,,
447,0.000258,,
446.5,0.000391,,
446,0.000421,,
445.5,0.00025,,
445,0.00042,,
444.5,0.000599,,
444,0.000434,,
443.5,0.000332,,
443,0.000474,,
442.5,0.000371,,
442,0.000479,,
441.5,0.000297,,
441,0.000271,,
440.5,0.000592,,
440,0.000504,,
439.5,0.000498,,
439,0.000263,,
438.5,0.000342,,
438,0.000538,,
437.5,0.000488,,
437,0.000384,,
436.5,0.000578,,
436,0.000434,,
435.5,0.000361,,
435,0.00049,,
434.5,0.000541,,
434,0.000548,,
433.5,0.000664,,
433,0.000455,,
432.5,0.000496,,
432,0.000576,,
431.5,0.000431,,
431,0.000435,,
430.5,0.000474,,
430,0.00073,,
429.5,0.000578,,
429,0.000608,,
428.5,0.000615,,
428,0.00045,,
427.5,0.000438,,
427,0.000659,,
426.5,0.00071,,
426,0.000405,,
425.5,0.00057,,
425,0.000541,,
424.5,0.000503,,
424,0.000554,,
423.5,0.000435,,
423,0.000528,,
422.5,0.000485,,
422,0.000445,,
421.5,0.000357,,
421,0.000539,,
420.5,0.000478,,
420,0.000601,,
419.5,0.000693,,
419,0.000531,,
418.5,0.000408,,
418,0.000485,,
417.5,0.000585,,
417,0.000645,,
416.5,0.000536,,
416,0.000649,,
415.5,0.000411,,
415,0.000534,,
414.5,0.000578,,
414,0.000651,,
413.5,0.000618,,
413,0.000652,,
412.5,0.000453,,
412,0.000484,,
411.5,0.000638,,
411,0.000523,,
410.5,0.000645,,
410,0.000566,,
409.5,0.000686,,
409,0.000799,,
408.5,0.000634,,
408,0.000474,,
407.5,0.000403,,
407,0.000451,,
406.5,0.000742,,
406,0.000691,,
405.5,0.000736,,
405,0.000668,,
404.5,0.000723,,
404,0.00052,,
403.5,0.000507,,
403,0.00046,,
402.5,0.000278,,
402,0.000451,,
401.5,0.000548,,
401,0.000959,,
400.5,0.000617,,
400,0.000586,,
399.5,0.000796,,
399,0.000878,,
398.5,0.000811,,
398,0.00057,,
397.5,0.000715,,
397,0.000949,,
396.5,0.00069,,
396,0.000782,,
395.5,0.000895,,
395,0.000739,,
394.5,0.000756,,
394,0.000765,,
393.5,0.000605,,
393,0.000884,,
392.5,0.000642,,
392,0.000686,,
391.5,0.000716,,
391,0.000533,,
390.5,0.000802,,
390,0.000894,,
389.5,0.001158,,
389,0.00081,,
388.5,0.001101,,
