Wavelength (nm),Absorbance,Title,Time
600,-0.000369,5AfinalD50,1/23/2014 4:16:03 PM
599.5,0.000852,,
599,0.000025,,
598.5,0.000108,,
598,0.000246,,
597.5,-0.000411,,
597,0.000077,,
596.5,0.000344,,
596,0.000384,,
595.5,0.000063,,
595,0.00008,,
594.5,0.000003,,
594,0.000251,,
593.5,0.000327,,
593,-0.000368,,
592.5,0.000206,,
592,0.000211,,
591.5,0.000277,,
591,-0.000254,,
590.5,0.000065,,
590,0.000039,,
589.5,0.000276,,
589,0.000119,,
588.5,0.000733,,
588,-0.000082,,
587.5,0.000436,,
587,-0.000085,,
586.5,0.000013,,
586,0.000198,,
585.5,0.000791,,
585,0.000187,,
584.5,0.000445,,
584,0.000505,,
583.5,0.000406,,
583,0.000418,,
582.5,0.000159,,
582,0.000253,,
581.5,0.000378,,
581,0.000122,,
580.5,0.000294,,
580,-0.00007,,
579.5,0.000019,,
579,0.000317,,
578.5,0.000054,,
578,0.000231,,
577.5,-0.000071,,
577,-0.000131,,
576.5,0.000668,,
576,0.000323,,
575.5,-0.000111,,
575,0.000477,,
574.5,0.000486,,
574,0.000378,,
573.5,0.000371,,
573,0.000399,,
572.5,0.000441,,
572,-0.000178,,
571.5,0.000378,,
571,0.000478,,
570.5,0.000291,,
570,0.000454,,
569.5,0.000066,,
569,0.000174,,
568.5,0.000287,,
568,0.000227,,
567.5,-0.000099,,
567,0.000351,,
566.5,0.000192,,
566,0.000607,,
565.5,0.000275,,
565,0.00002,,
564.5,0.000355,,
564,-0.000064,,
563.5,0.000081,,
563,0.000419,,
562.5,-0.000427,,
562,-0.000467,,
561.5,-0.000109,,
561,-0.00013,,
560.5,0.000168,,
560,0.000184,,
559.5,-0.000232,,
559,0.000395,,
558.5,0.000101,,
558,0.000178,,
557.5,0.000049,,
557,-0.000163,,
556.5,0.0002,,
556,-0.000019,,
555.5,0.000406,,
555,0.000542,,
554.5,0.000053,,
554,0.000226,,
553.5,0.000553,,
553,-0.000111,,
552.5,0.000423,,
552,0.000035,,
551.5,0.000239,,
551,0.000443,,
550.5,0.000182,,
550,-0.000215,,
549.5,0.000112,,
549,0.000061,,
548.5,-0.000098,,
548,0.000299,,
547.5,-0.000204,,
547,0.000232,,
546.5,0.000169,,
546,0.000002,,
545.5,-0.000219,,
545,-0.000094,,
544.5,0.000153,,
544,0.000287,,
543.5,0.000054,,
543,0.000252,,
542.5,0.000117,,
542,0.000199,,
541.5,0.000314,,
541,0.000189,,
540.5,0.000216,,
540,0.000132,,
539.5,0.000278,,
539,0.000181,,
538.5,0.000454,,
538,0.000256,,
537.5,0.000152,,
537,0.000224,,
536.5,0.000054,,
536,0.000283,,
535.5,0.00029,,
535,-0.000065,,
534.5,0.00021,,
534,0.000478,,
533.5,0.000173,,
533,0.000037,,
532.5,0.000211,,
532,0.000077,,
531.5,0.000127,,
531,0.000207,,
530.5,0.000432,,
530,0.000292,,
529.5,0.00012,,
529,0.000131,,
528.5,0.000288,,
528,0.000142,,
527.5,0.000212,,
527,0.000282,,
526.5,0.00032,,
