Wavelength (nm),Absorbance,Title,Time
600,-0.000204,4AfinalD50,1/23/2014 2:54:54 PM
599.5,-0.000144,,
599,0.000055,,
598.5,0.000139,,
598,0.000109,,
597.5,-0.000294,,
597,0.000107,,
596.5,0.000047,,
596,0.000165,,
595.5,0.000258,,
595,0.000399,,
594.5,-0.000018,,
594,-0.000162,,
593.5,-0.000051,,
593,0.000053,,
592.5,-0.000497,,
592,0.000063,,
591.5,0.000042,,
591,-0.000069,,
590.5,0.000335,,
590,-0.000486,,
589.5,-0.000545,,
589,-0.000472,,
588.5,-0.000276,,
588,-0.000209,,
587.5,-0.000263,,
587,0.000168,,
586.5,-0.000262,,
586,-0.000141,,
585.5,0.000205,,
585,-0.000112,,
584.5,0.000092,,
584,-0.000229,,
583.5,0.000277,,
583,-0.000581,,
582.5,-0.000034,,
582,-0.000032,,
581.5,0.000001,,
581,-0.000444,,
580.5,-0.000098,,
580,-0.000107,,
579.5,0.000029,,
579,-0.000524,,
578.5,-0.000042,,
578,-0.000185,,
577.5,-0.000211,,
577,-0.000855,,
576.5,0.000043,,
576,-0.000161,,
575.5,-0.000066,,
575,0.00008,,
574.5,-0.000186,,
574,-0.000152,,
573.5,-0.000365,,
573,-0.00028,,
572.5,-0.000282,,
572,0.00007,,
571.5,-0.000139,,
571,-0.000376,,
570.5,-0.000035,,
570,-0.000137,,
569.5,-0.000593,,
569,-0.000195,,
568.5,-0.000439,,
568,-0.000475,,
567.5,0.000134,,
567,-0.000166,,
566.5,0.000066,,
566,-0.000761,,
565.5,-0.000143,,
565,0.000138,,
564.5,0.000251,,
564,-0.000005,,
563.5,-0.000132,,
563,0.000203,,
562.5,-0.000207,,
562,0.000275,,
561.5,0.000036,,
561,0.000096,,
560.5,-0.000461,,
560,-0.000306,,
559.5,-0.00032,,
559,-0.000152,,
558.5,-0.000185,,
558,-0.000194,,
557.5,-0.000136,,
557,0.000268,,
556.5,0.00012,,
556,-0.000113,,
555.5,0.000066,,
555,-0.000105,,
554.5,0.000235,,
554,0.00003,,
553.5,-0.000674,,
553,-0.000091,,
552.5,-0.000065,,
552,0.00003,,
551.5,-0.000183,,
551,-0.000231,,
550.5,-0.000521,,
550,0.000065,,
549.5,-0.000214,,
549,-0.000018,,
548.5,0.000116,,
548,0.000251,,
547.5,0.000136,,
547,-0.000385,,
546.5,-0.000114,,
546,0.000122,,
545.5,-0.000356,,
545,-0.000228,,
544.5,-0.000312,,
544,0.000096,,
543.5,0.000134,,
543,0.000039,,
542.5,-0.000099,,
542,0.000374,,
541.5,-0.000095,,
541,0.000093,,
540.5,0.000169,,
540,0.000059,,
539.5,-0.000114,,
539,0.000303,,
538.5,0.000189,,
538,-0.000064,,
537.5,-0.000076,,
537,0.000006,,
536.5,0.000007,,
536,0.000328,,
535.5,0.000078,,
535,-0.000132,,
534.5,0.000056,,
534,0.000007,,
533.5,-0.000001,,
533,-0.000001,,
532.5,-0.000077,,
532,0.000169,,
531.5,-0.000014,,
531,-0.00004,,
530.5,0.000038,,
530,0.000116,,
529.5,-0.000123,,
529,0.000045,,
528.5,-0.000082,,
528,0.000102,,
527.5,0.000064,,
527,0.000037,,
526.5,-0.000006,,
526,-0.000142,,
525.5,0.000027,,
525,0.000017,,
524.5,0.000312,,
524,-0.000191,,
523.5,-0.000208,,
523,-0.000504,,
522.5,0.000047,,
522,-0.000355,,
521.5,-0.000044,,
521,0.00022,,
520.5,-0.00001,,
520,0.000057,,
519.5,-0.000219,,
519,-0.000015,,
518.5,-0.000228,,
518,0.000029,,
517.5,0.000031,,
517,0.000195,,
516.5,0.000304,,
516,-0.000158,,
515.5,-0.000044,,
515,0.000031,,
514.5,0.000138,,
514,0.000034,,
513.5,-0.000204,,
513,-0.00011,,
512.5,0.000271,,
512,0.000121,,
511.5,0.000082,,
511,0.000106,,
510.5,0.000253,,
510,-0.00005,,
509.5,0.0002,,
509,0.000132,,
508.5,-0.000312,,
508,0.000169,,
507.5,-0.000165,,
507,0.000327,,
506.5,0.00013,,
506,-0.000362,,
505.5,0.000024,,
505,-0.000131,,
504.5,0.000065,,
504,-0.000022,,
503.5,-0.000203,,
503,0.000143,,
502.5,-0.000133,,
502,0.000081,,
501.5,-0.000345,,
501,0.00019,,
500.5,-0.00019,,
500,-0.00012,,
499.5,0.000174,,
499,-0.000159,,
498.5,0.000095,,
498,-0.000034,,
497.5,0.000234,,
497,-0.000041,,
496.5,0.000034,,
496,-0.000095,,
495.5,0.000048,,
495,-0.000059,,
494.5,0.000263,,
494,-0.000023,,
493.5,0.000129,,
493,0.00015,,
492.5,-0.000152,,
492,-0.000011,,
491.5,0.000004,,
491,0.000008,,
490.5,-0.000066,,
490,-0.000127,,
489.5,-0.00013,,
489,0.000009,,
488.5,0.000116,,
488,-0.000061,,
487.5,-0.000028,,
487,0.000139,,
486.5,-0.000104,,
486,-0.000045,,
485.5,0.000028,,
485,-0.000071,,
484.5,0.0001,,
484,0.000052,,
483.5,0.000086,,
483,-0.000005,,
482.5,0.000072,,
482,0.000023,,
481.5,-0.000161,,
481,-0.000207,,
480.5,-0.000141,,
480,0.000103,,
479.5,0.000142,,
479,0.00002,,
478.5,0.000215,,
478,0.000065,,
477.5,-0.000018,,
477,-0.000027,,
476.5,-0.000203,,
476,0.000041,,
475.5,0.000029,,
475,0.000029,,
474.5,0.000313,,
474,-0.000039,,
473.5,0.000125,,
473,0.000214,,
472.5,-0.000055,,
472,0.00017,,
471.5,-0.000027,,
471,-0.000081,,
470.5,0.00007,,
470,0.000102,,
469.5,0.00016,,
469,0.000105,,
468.5,0.000081,,
468,-0.000173,,
467.5,0.000083,,
467,0.000249,,
466.5,0.000009,,
466,0.000126,,
465.5,-0.00001,,
465,-0.000052,,
464.5,0.000109,,
464,-0.000159,,
463.5,-0.000108,,
463,0.000138,,
462.5,0.000035,,
462,0.000188,,
461.5,0.000038,,
461,0.000223,,
460.5,0.000148,,
460,-0.000046,,
459.5,0.000149,,
459,-0.000164,,
458.5,0.000162,,
458,0.000237,,
457.5,0.000132,,
457,0.000068,,
456.5,0.000062,,
456,0.000133,,
455.5,-0.000031,,
455,-0.000171,,
454.5,0,,
454,0.000101,,
453.5,0.000059,,
453,0.000141,,
452.5,0.000097,,
452,0.000023,,
451.5,0.000226,,
451,0.000158,,
450.5,0.000036,,
450,0.000028,,
449.5,0.000241,,
449,0.00002,,
448.5,0.000102,,
448,-0.00014,,
447.5,0.000186,,
447,0.000012,,
446.5,-0.000094,,
446,0.000201,,
445.5,0.000244,,
445,0.000236,,
444.5,0.000089,,
444,0.000212,,
443.5,0.000255,,
443,0.000118,,
442.5,0.000113,,
442,0.000075,,
441.5,0.000338,,
441,0.000178,,
440.5,0.000286,,
440,0.000216,,
439.5,0.000443,,
439,0.000076,,
438.5,0.000116,,
438,0.000029,,
437.5,0.000287,,
437,-0.000075,,
436.5,0.000129,,
436,0.000016,,
435.5,0.000185,,
435,0.000295,,
434.5,0.000135,,
434,0.00034,,
433.5,0.000167,,
433,0.000134,,
432.5,0.000227,,
432,0.000117,,
431.5,0.000245,,
431,0.000036,,
430.5,0.000326,,
430,0.000311,,
429.5,0.000249,,
429,0.00028,,
428.5,0.000252,,
428,0.000002,,
427.5,0.000231,,
427,0.000165,,
426.5,0.000354,,
426,0.000185,,
425.5,0.00028,,
425,0.000023,,
424.5,0.00025,,
424,0.000077,,
423.5,0.000033,,
423,0.000167,,
422.5,0.000224,,
422,0.000191,,
421.5,0.000236,,
421,0.000222,,
420.5,0.000209,,
420,0.000163,,
419.5,0.000098,,
419,0.000303,,
418.5,0.000118,,
418,0.00031,,
417.5,0.000308,,
417,0.000051,,
416.5,0.000236,,
416,0.000081,,
415.5,0.00005,,
415,0.000243,,
414.5,0.000165,,
414,0.000238,,
413.5,0.000197,,
413,0.000143,,
412.5,0.000058,,
412,0.000194,,
411.5,0.000263,,
411,0.000153,,
410.5,0.000134,,
410,0.000388,,
409.5,0.000344,,
409,0.000031,,
408.5,0.000367,,
408,0.000408,,
407.5,0.000388,,
407,0.000203,,
406.5,0.000349,,
406,0.000231,,
405.5,0.000374,,
405,0.000327,,
404.5,0.000196,,
404,0.000172,,
403.5,0.000406,,
403,0.000231,,
402.5,0.000242,,
402,-0.00008,,
401.5,0.000028,,
401,0.000251,,
400.5,0.000527,,
400,0.00037,,
399.5,-0.000206,,
399,0.000257,,
398.5,0.000009,,
398,0.000372,,
397.5,0.000084,,
397,0.000273,,
396.5,0.000312,,
396,0.000317,,
395.5,0.000307,,
395,0.000303,,
394.5,0.000431,,
394,0.000543,,
393.5,0.000374,,
393,0.000404,,
392.5,0.000639,,
392,0.000296,,
391.5,0.000196,,
391,0.000479,,
390.5,0.000415,,
390,0.000366,,
389.5,0.000494,,
389,0.000212,,
388.5,0.00049,,
388,0.00003,,
387.5,0.000255,,
387,0.000331,,
386.5,0.000057,,
386,0.000355,,
385.5,0.000581,,
385,0.000133,,
384.5,0.000361,,
384,0.000466,,
383.5,0.000333,,
383,0.000904,,
382.5,0.000514,,
382,0.000014,,
381.5,0.000463,,
381,-0.000163,,
380.5,0.00032,,
380,0.000276,,
379.5,0.00043,,
379,0.000603,,
378.5,0.000851,,
378,0.000395,,
377.5,0.000737,,
377,0.000537,,
376.5,0.000484,,
376,0.000744,,
375.5,0.000571,,
375,0.000774,,
374.5,0.000287,,
374,0.000709,,
373.5,0.000549,,
373,0.000606,,
372.5,0.000451,,
372,0.000855,,
371.5,0.000603,,
371,0.000623,,
370.5,0.000244,,
370,0.000642,,
369.5,0.000775,,
369,0.001034,,
368.5,0.000655,,
368,0.000987,,
367.5,0.000692,,
367,0.000768,,
366.5,0.000555,,
366,0.000662,,
365.5,0.00084,,
365,0.000754,,
364.5,0.000893,,
364,0.001057,,
363.5,0.001208,,
363,0.000742,,
362.5,0.000991,,
362,0.000929,,
361.5,0.000939,,
361,0.001098,,
360.5,0.001087,,
360,0.000922,,
359.5,0.001087,,
359,0.000887,,
358.5,0.001291,,
358,0.001046,,
357.5,0.000889,,
357,0.001376,,
356.5,0.000957,,
356,0.001286,,
355.5,0.001117,,
355,0.001203,,
354.5,0.000974,,
354,0.000955,,
353.5,0.001225,,
353,0.000722,,
352.5,0.001006,,
352,0.001134,,
351.5,0.000984,,
351,0.001506,,
350.5,0.001178,,
350,0.001209,,
349.5,0.001294,,
349,0.0009,,
348.5,0.001245,,
348,0.001398,,
347.5,0.00096,,
347,0.001337,,
346.5,0.001818,,
346,0.001344,,
345.5,0.001423,,
345,0.001692,,
344.5,0.001471,,
344,0.001309,,
343.5,0.001587,,
343,0.001535,,
342.5,0.001573,,
342,0.001344,,
341.5,0.001139,,
341,0.001756,,
340.5,0.00143,,
340,0.001688,,
339.5,0.001576,,
339,0.001688,,
338.5,0.001402,,
338,0.001633,,
337.5,0.001532,,
337,0.00171,,
336.5,0.001399,,
336,0.00119,,
335.5,0.001959,,
335,0.001909,,
334.5,0.001611,,
334,0.001899,,
333.5,0.001365,,
333,0.001342,,
332.5,0.001356,,
332,0.001273,,
331.5,0.001678,,
331,0.001953,,
330.5,0.002058,,
330,0.001837,,
329.5,0.001627,,
329,0.001741,,
328.5,0.00189,,
328,0.001767,,
327.5,0.001699,,
327,0.001757,,
326.5,0.001799,,
326,0.001835,,
325.5,0.002021,,
325,0.001842,,
324.5,0.002292,,
324,0.001742,,
323.5,0.002011,,
323,0.002239,,
322.5,0.001995,,
322,0.002275,,
321.5,0.001949,,
321,0.002065,,
320.5,0.002314,,
320,0.001886,,
319.5,0.002341,,
319,0.002024,,
318.5,0.002082,,
318,0.001959,,
317.5,0.001998,,
317,0.001925,,
316.5,0.002225,,
316,0.002307,,
315.5,0.002145,,
315,0.002113,,
314.5,0.00245,,
314,0.002289,,
313.5,0.002388,,
313,0.002339,,
312.5,0.002335,,
312,0.002472,,
311.5,0.002284,,
311,0.002303,,
310.5,0.002398,,
310,0.002453,,
309.5,0.002536,,
309,0.002759,,
308.5,0.002539,,
308,0.002432,,
307.5,0.002482,,
307,0.002559,,
306.5,0.002519,,
306,0.002829,,
305.5,0.002847,,
305,0.00297,,
304.5,0.002753,,
304,0.002648,,
303.5,0.002672,,
303,0.002962,,
302.5,0.002627,,
302,0.002496,,
301.5,0.002665,,
301,0.002892,,
300.5,0.002976,,
300,0.002602,,
299.5,0.002638,,
299,0.00273,,
298.5,0.002747,,
298,0.0027,,
297.5,0.002793,,
297,0.002564,,
296.5,0.003132,,
296,0.003089,,
295.5,0.00326,,
295,0.003013,,
294.5,0.00295,,
294,0.002758,,
293.5,0.003144,,
293,0.003122,,
292.5,0.002974,,
292,0.002723,,
291.5,0.003439,,
291,0.002894,,
290.5,0.003112,,
290,0.00297,,
289.5,0.003298,,
289,0.002855,,
288.5,0.003062,,
288,0.002898,,
287.5,0.002899,,
287,0.002877,,
286.5,0.00301,,
286,0.002897,,
285.5,0.003023,,
285,0.003072,,
284.5,0.002981,,
284,0.003097,,
283.5,0.003335,,
283,0.00293,,
282.5,0.002727,,
282,0.003069,,
281.5,0.003123,,
281,0.00323,,
280.5,0.002947,,
280,0.00354,,
279.5,0.003112,,
279,0.002883,,
278.5,0.003206,,
278,0.003252,,
277.5,0.002895,,
277,0.003279,,
276.5,0.003139,,
276,0.003157,,
275.5,0.003386,,
275,0.003264,,
274.5,0.003619,,
274,0.002906,,
273.5,0.003119,,
273,0.003112,,
272.5,0.003364,,
272,0.003509,,
271.5,0.003421,,
271,0.003302,,
270.5,0.003257,,
270,0.003179,,
269.5,0.003504,,
269,0.00291,,
268.5,0.002947,,
268,0.003568,,
267.5,0.003707,,
267,0.003406,,
266.5,0.003378,,
266,0.003044,,
265.5,0.002972,,
265,0.003305,,
264.5,0.002922,,
264,0.002645,,
263.5,0.002721,,
263,0.002686,,
262.5,0.003096,,
262,0.002682,,
261.5,0.00248,,
261,0.001792,,
260.5,0.001894,,
260,0.001419,,
259.5,0.000909,,
259,0.000624,,
258.5,-0.000548,,
258,-0.000966,,
257.5,-0.001304,,
257,-0.00202,,
256.5,-0.002258,,
256,-0.004069,,
255.5,-0.004743,,
255,-0.007756,,
254.5,-0.008506,,
254,-0.009443,,
253.5,-0.012938,,
253,-0.013267,,
252.5,-0.019554,,
252,-0.019995,,
251.5,-0.02541,,
251,-0.03648,,
250.5,-0.042554,,
250,-0.321056,,
249.5,NaN,,
249,NaN,,
248.5,NaN,,
248,NaN,,
247.5,NaN,,
247,NaN,,
246.5,NaN,,
246,NaN,,
245.5,NaN,,
245,NaN,,
244.5,NaN,,
244,NaN,,
243.5,NaN,,
243,NaN,,
242.5,NaN,,
242,NaN,,
241.5,NaN,,
241,NaN,,
240.5,NaN,,
240,NaN,,
